Image_path,image_name,Captions,Label_Sentiment
../dataset/Dataset\Memes\tangaila (1).jpg,tangaila (1).jpg,"আম্মাঃ HSC চলে আসছে , এখন থেকে তোর মোবাইল , ল্যাপটপ সব চালানো বন্ধ   Me: মরে যাব রে, মরে যাব কি অসহায় আমি একবার ভাব  ",positive
../dataset/Dataset\Memes\tangaila (2).jpg,tangaila (2).jpg,WHEN YOUR COUSINS TAKES YOU TO THE DHAN KHET AND SHOWS HIS KALO BONDUK,negative
../dataset/Dataset\Memes\tangaila (3).jpg,tangaila (3).jpg,WHEN HE SAID 10 MINUTES BUT IT WAS ONLY 2 MINUTES,negative
../dataset/Dataset\Memes\tangaila (4).jpg,tangaila (4).jpg,SHE - I CAN'T BE WITH YOU   -তবে শেষবারের মত দেখতে দাও ,negative
../dataset/Dataset\Memes\tangaila (5).jpg,tangaila (5).jpg,"যখন কোন Teacher বলে   ""সত্যটা বলো, তাহলে আর কিচ্ছু বলবো না""  ভাইজান, আমার কপালে কি বোকাচোদা লেখা আছে ? ",negative
../dataset/Dataset\Memes\tangaila (6).jpg,tangaila (6).jpg,আয়মান সাদিক    ব্যয়মান সাদিক    পরমমান সাদিক    শতকরামন সাদিক ,negative
../dataset/Dataset\Memes\tangaila (7).jpg,tangaila (7).jpg,"When your younger brothers asks  ""ভাইয়া আমরা কিভাবে হইসি ? ",negative
../dataset/Dataset\Memes\tangaila (8).jpg,tangaila (8).jpg,"WHEN YOU ARE ABOUT TO BANG HER & SHE SAYS দাঁড়াও বাবুকে ঘুম পাড়ায় আসি    SO, YOU KEEP WAITING LIKE",negative
../dataset/Dataset\Memes\tangaila (9).jpg,tangaila (9).jpg,"BIOLOGY THEORY IS IMPORTANT BUT, BIOLOGY PRACTICAL IS LIFE   ME    MEDICAL এর ভাইয়া   BIOLOGY BOOK   ",negative
../dataset/Dataset\Memes\tangaila (10).jpg,tangaila (10).jpg,Nije kono content Create kora    Onno ke hoga mere Famous howa  ,negative
../dataset/Dataset\Memes\tangaila (11).jpg,tangaila (11).jpg,Her : he's probably thinking of that bitch again !    Him :  এই শীতে কোহলি করলো বিয়ে কিন্তু শাকিব খান ডিভোর্স চায় । শালা বলদ !  ,negative
../dataset/Dataset\Memes\tangaila (12).jpg,tangaila (12).jpg,THIS PLACE IS FAMOUS IN INDIA FOR TOURISM ,negative
../dataset/Dataset\Memes\tangaila (13).jpg,tangaila (13).jpg,"WHEN YOUR FRIEND COPIED FROM YOU IN EXAM, BUT END UP GETTING MARKS   MORE THAN YOU    এই শহরে আপনার মত ক্রিমিনাল আর একটাও নাই  ",positive
../dataset/Dataset\Memes\tangaila (14).jpg,tangaila (14).jpg,GIRL :  আমার সাথে বুঝে শুনে কথা বলবা  ME : কেনো ? তুমি কি দেশের PRESIDENT    GIRL:  কারণ...    আমার অনেক ত্যাজ ,negative
../dataset/Dataset\Memes\tangaila (15).jpg,tangaila (15).jpg,"WHEN YOU WANT TO SMASH THEM ASS, BUT THE ""GIRLS"" TURN AROUND ",negative
../dataset/Dataset\Memes\tangaila (16).jpg,tangaila (16).jpg,WHEN YOU FAIL YOUR PSC EXAMINATION ,negative
