Image_path,image_name,Captions,Label_Sentiment,label
../dataset/Dataset\Memes\bamboo-vaiya (115).jpg,bamboo-vaiya (115).jpg,WHEN GIRL CHANGES HER RELATIONSHIP STATUS TO SINGLE IN FACEBOOK EVERY HORNY DESPERATE BOY IN FACEBOOK BE LIKE যুবতী আমি তোর বন্ধু হবো,1,1
../dataset/Dataset\Memes\KAM (61).png,KAM (61).png,ভাল ফ্যাকাল্টি পাইলে আমিও ভাল গ্রেড উঠাইতাম কিন্ত ওটাইতো পাই না,0,0
../dataset/Dataset\Memes\KAM (345).jpg,KAM (345).jpg,BREAK UP এরপর মেয়েরা যে গান গায় এনালগ যুগঃ যেও না সাথি চলেছো একেলা কোথায় ডিজিটাল যুগঃ চলে গেছো তাতে কি নতুন একটা পেয়েছি তোমার চেয়ে আরও ধনী,1,1
../dataset/Dataset\Memes\KAM (572).jpg,KAM (572).jpg,কি হয়সে ভাই আপনার মন খারাপ কেন সেই কখন থেকে মোবাইলটারে AIRPLANE MODE এ দিয়ে রাখসি কিন্তু মোবাইলটা উড়তেসেই না,0,0
../dataset/Dataset\Memes\KAM (714).jpg,KAM (714).jpg,পড়তে বসার সময় বসার 10 মিনিট পর বসার 20 মিনিট পর বসার 30 মিনিট পর,0,0
../dataset/Dataset\Memes\Bangla Thug Life (299).jpg,Bangla Thug Life (299).jpg,আমিঃ আম্মু ঈদের সালামি দিবা না আম্মুঃ ভাত খা Me চাইলাম কী কইলো কী,0,0
../dataset/Dataset\Memes\bamboo-vaiya (459).jpg,bamboo-vaiya (459).jpg,গুলিস্তান থেকে Earphone কিনার পরঃ ১০ দিন পরঃ,1,1
../dataset/Dataset\Memes\tangaila (280).jpg,tangaila (280).jpg,সার্কাজম করে বিটিএসের পক্ষ নিয়ে পোষ্ট করে পচানোর পর যখন কোন বিটিএস ফ্যান ইমপ্রেস হয়ে প্রপোজ করে বসে তুই একটা বোদাই আমি নিজেও একটা বোদাই,1,1
../dataset/Dataset\Memes\bangla-gag (8).png,bangla-gag (8).png,তোমার নাম কি ANDY MURRAY অ্যান্ডি মারলে আমি কি করবো,1,1
../dataset/Dataset\Memes\KAM (148).png,KAM (148).png,বৃহস্পতিবার রবিবারসোমবার হরতাম এর বন্ধ পাইছি আজকে হরতাম শেষ কিনু কিনু কিনু ফইন্নির ঘরের ফইন্নিরা আরো হরতাল দেছ না কেরে,0,0
../dataset/Dataset\Memes\bangla-memes (204).jpg,bangla-memes (204).jpg,রোজা কি ২৯ টা হবে না ৩০ টা বাঙালি মুসলিমঃ Dont ask me ask saudi arab,1,1
../dataset/Dataset\Memes\Halal Memes (165).jpg,Halal Memes (165).jpg,আমিঃ ভাবী আপনার জামাইরে এক মহিলার সাথে ধরা খাইতে দেখছি ভাবীঃ আমার জামাইয়ের অনেক টাকা Halala Memes,1,1
../dataset/Dataset\Memes\tangaila (248).jpg,tangaila (248).jpg,মেয়ে গার্লসের ছাত্রী এখন কুমুদিনীতে পড়ে দেখতে সুন্দর বাবার টাকা আছে প্রচুর কিন্তু মেয়ে বিটিএস ফ্যান,1,1
../dataset/Dataset\Memes\tangaila (297).jpg,tangaila (297).jpg,কুমুদিনীর নাগিন হাসানের ছেলে হাসানের ছেলে কুমুদিনীর নাগিন,1,1
../dataset/Dataset\Memes\chosha (34).jpg,chosha (34).jpg,আমার কাছে কি নাই যে তুই ওঁই মাগীর কাছে যাস ও সেভ করে রাখে,1,1
../dataset/Dataset\Memes\ovodro_img (2).jpg,ovodro_img (2).jpg,প্রীতি আবার এরকমই খেলব আহ তোর নিচের ব্যাট আমাকে গুতা মারছে,1,1
